city,pop19
Adana,2237940
Adıyaman,626465
Afyonkarahisar,729483
Ağrı,536199
Amasya,337800
Ankara,5639076
Antalya,2511700
Artvin,170875
Aydın,1110972
Balıkesir,1228620
Bilecik,219427
Bingöl,279812
Bitlis,348115
Bolu,316126
Burdur,270796
Bursa,3056120
Çanakkale,542157
Çankırı,195789
Çorum,530864
Denizli,1037208
Diyarbakır,1756353
Edirne,413903
Elazığ,591098
Erzincan,234747
Erzurum,762062
Eskişehir,887475
Gaziantep,2069364
Giresun,448400
Gümüşhane,164521
Hakkari,280991
Hatay,1628894
Isparta,444914
Mersin,1840425
İstanbul,15519267
İzmir,4367251
Kars,285410
Kastamonu,379405
Kayseri,1407409
Kırklareli,361836
Kırşehir,242938
Kocaeli,1953035
Konya,2232374
Kütahya,579257
Malatya,800165
Manisa,1440611
Kahramanmaraş,1154102
Mardin,838778
Muğla,983142
Muş,408809
Nevşehir,303010
Niğde,362861
Ordu,754198
Rize,343212
Sakarya,1029650
Samsun,1348542
Siirt,330280
Sinop,218243
Sivas,638956
Tekirdağ,1055412
Tokat,612747
Trabzon,808974
Tunceli,84660
Şanlıurfa,2073614
Uşak,370509
Van,1136757
Yozgat,421200
Zonguldak,596053
Aksaray,416367
Bayburt,84843
Karaman,253279
Kırıkkale,283017
Batman,608659
Şırnak,529615
Bartın,198249
Ardahan,97319
Iğdır,199442
Yalova,270976
Karabük,248458
Kilis,142490
Osmaniye,538759
Düzce,392166
