0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
Adana,0,0,1,1,0,5,5,5,5,2,0,7,7,7,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,2,2,2,2,2,0,2,2,2,2,0,28,28,28,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,2,0,79,79
Adıyaman,0,0,1,1,0,2,2,0,4,4,4,4,4,1,0,2,2,2,2,0,6,6,6,6,6,6,6,6,2,0,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61
Afyonkarahisar,0,0,2,2,2,0,6,6,6,6,6,6,2,2,2,0,16,16,16,16,16,16,16,16,7,3,3,1,1,1,1,0,15,15,15,15,15,15,15,15,15,7,7,7,7,7,7,3,1,0,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
Aksaray,0,1,0,0,4,4,4,4,1,1,1,0,12,12,12,12,12,12,12,5,5,5,5,2,2,2,2,2,0,5,2,2,2,0,21,21,21,21,21,21,10,10,10,4,4,1,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,2,2,2,2,0,73,73,73,73,73,73,73,73
Amasya,0,1,0,0,4,4,4,4,1,1,1,0,6,6,6,6,6,6,6,6,2,2,2,0,16,16,16,16,16,16,16,16,16,16,16,7,7,7,7,7,7,3,1,0,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44
Ankara,0,0,2,2,2,0,1,1,0,5,2,2,0,4,4,4,1,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,75,75,75,75,75,75
Antalya,0,0,2,2,2,0,6,6,6,6,6,6,2,2,2,0,16,16,16,16,16,16,16,16,7,3,3,1,1,1,1,0,17,17,17,17,8,8,3,3,3,1,0,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43
Ardahan,0,1,0,0,1,1,0,2,2,0,5,5,5,5,5,5,5,5,5,2,0,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,2,2,0,15,15,15,7,7,7,3,3,1,1,0,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
Artvin,0,1,0,0,1,1,0,2,2,0,5,5,5,5,5,5,5,5,5,2,0,21,21,21,21,21,21,21,21,21,21,21,21,21,10,10,10,10,10,10,4,4,4,1,1,0,25,25,25,25,25,25,25,25,25,25,12,12,12,5,5,5,5,5,5,5,2,2,0,69,69,69,69,69,69,69,69,69,69,69,69
Aydın,0,0,2,2,2,0,6,6,6,6,6,6,2,2,2,0,9,9,4,4,4,4,1,1,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,12,12,12,12,12,12,12,12,12,12,5,5,5,2,0,18,18,18,8,8,8,8,8,8,3,1,1,0,4,1,1,1,1,0,80
Ağrı,0,0,2,2,2,0,1,1,0,9,9,9,9,9,9,9,4,4,1,1,1,0,4,4,4,4,1,0,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
Balıkesir,0,1,0,0,1,1,0,7,7,7,7,3,3,3,1,1,0,7,7,7,7,7,7,7,3,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,2,0,67,67,67,67,67,67,67,67,67,67,67,67,67,67
Bartın,0,1,0,3,3,3,3,3,3,3,3,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,2,0,8,8,8,8,3,3,3,3,3,1,0,17,17,17,17,17,17,8,8,3,1,1,1,0,14,14,14,6,6,6,6,6,6,6,2,2,2,2,0,77,77,77,77
Batman,0,0,1,1,0,2,2,0,4,4,4,4,4,1,0,2,2,2,2,0,6,6,6,6,6,6,6,6,2,0,5,5,5,5,5,5,5,2,2,2,2,2,2,2,0,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45
Bayburt,0,1,0,0,1,1,0,2,2,0,5,5,5,5,5,5,5,5,5,2,0,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,2,2,0,15,15,15,7,7,7,3,3,1,1,0,35,35,35,35,35,35,35,35,35,35,35,35,35,71,71,71,71,71,71,71,71,71,71
Bilecik,0,1,0,0,1,1,0,7,7,7,7,3,3,3,1,1,0,7,7,7,7,7,7,7,3,1,0,3,3,3,3,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,6,6,6,6,2,2,2,2,2,0,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
Bingöl,0,0,1,1,0,2,2,0,4,4,4,4,4,1,0,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,0,20,20,20,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,1,0,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64
Bitlis,0,0,1,1,0,2,2,0,4,4,4,4,4,1,0,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,0,20,20,20,9,9,9,9,9,9,9,9,9,4,4,4,4,4,4,4,4,1,0,38,38,38,38,38,38,38,38,38,38,38,38,38,38,78,78,78
Bolu,0,1,0,3,3,3,3,3,3,3,3,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,2,0,8,8,8,8,3,3,3,3,3,1,0,17,17,17,17,17,17,8,8,3,1,1,1,0,10,4,4,4,4,4,4,4,4,4,4,4,1,0,76,76,76,76,76
Burdur,0,0,2,2,2,0,6,6,6,6,6,6,2,2,2,0,16,16,16,16,16,16,16,16,7,3,3,1,1,1,1,0,17,17,17,17,8,8,3,3,3,1,0,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,4,1,0,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
Bursa,0,1,0,0,1,1,0,7,7,7,7,3,3,3,1,1,0,7,7,7,7,7,7,7,3,1,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,6,6,6,6,6,2,0,33,68,68,68,68,68,68,68,68,68,68,68,68,68
Denizli,0,0,2,2,2,0,6,6,6,6,6,6,2,2,2,0,9,9,4,4,4,4,1,1,0,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,12,12,12,12,12,12,12,12,12,12,5,5,5,2,0,18,18,18,8,8,8,8,8,8,3,1,1,0,4,1,1,1,1,0,51
Diyarbakır,0,0,1,1,0,2,2,0,4,4,4,4,4,1,0,2,2,2,2,0,6,6,6,6,6,6,6,6,2,0,5,5,5,5,5,5,5,2,2,2,2,2,2,2,0,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42
Düzce,0,1,0,3,3,3,3,3,3,3,3,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,2,0,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,8,3,3,3,1,0,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63
Edirne,0,1,0,0,1,1,0,7,7,7,7,3,3,3,1,1,0,7,7,7,7,7,7,7,3,1,0,3,3,3,3,1,0,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,16,16,7,7,3,3,1,0,37,37,37,37,37,37
Elazığ,0,0,1,1,0,2,2,0,4,4,4,4,4,1,0,2,2,2,2,0,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,1,0,8,8,8,8,8,8,8,3,1,1,1,0,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
Erzincan,0,0,2,2,2,0,1,1,0,9,9,9,9,9,9,9,4,4,1,1,1,0,4,4,4,4,1,0,14,14,14,14,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
Erzurum,0,0,2,2,2,0,1,1,0,9,9,9,9,9,9,9,4,4,1,1,1,0,4,4,4,4,1,0,14,14,14,14,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,1,0,35,72,72,72,72,72,72,72,72,72
Eskişehir,0,0,2,2,2,0,1,1,0,5,2,2,0,13,13,13,13,13,13,13,13,13,13,13,13,13,13,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Gaziantep,0,0,1,1,0,5,5,5,5,2,0,7,7,7,3,3,3,1,0,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,9,9,9,9,9,9,4,4,4,4,4,4,4,4,4,1,0,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56
Giresun,0,1,0,0,1,1,0,2,2,0,5,5,5,5,5,5,5,5,5,2,0,1,0,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47
Gümüşhane,0,1,0,0,1,1,0,2,2,0,5,5,5,5,5,5,5,5,5,2,0,1,0,11,11,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,5,2,2,0,23,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48
Hakkari,0,0,2,2,2,0,1,1,0,5,2,2,0,4,4,4,1,0,9,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Hatay,0,0,1,1,0,5,5,5,5,2,0,7,7,7,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,2,2,2,2,2,0,2,2,2,2,0,18,18,18,18,8,8,8,3,3,3,1,1,0,70,70,70,70,70,70,70,70,70,70,70
Isparta,0,0,2,2,2,0,6,6,6,6,6,6,2,2,2,0,16,16,16,16,16,16,16,16,7,3,3,1,1,1,1,0,15,15,15,15,15,15,15,15,15,7,7,7,7,7,7,3,1,0,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32
Iğdır,0,0,2,2,2,0,1,1,0,9,9,9,9,9,9,9,4,4,1,1,1,0,4,4,4,4,1,0,14,14,14,14,14,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,2,0,7,7,7,7,7,7,7,7,7,7,7,7,7,7,3,3,1,0,31,31,31,31,31,31,31,31,31,31
Kahramanmaraş,0,0,1,1,0,5,5,5,5,2,0,7,7,7,3,3,3,1,0,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,5,5,2,2,2,2,2,0,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
Karabük,0,1,0,3,3,3,3,3,3,3,3,1,1,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,6,6,6,6,6,2,2,2,2,0,8,8,8,8,3,3,3,3,3,1,0,17,17,17,17,17,17,8,8,3,1,1,1,0,10,4,4,4,4,4,4,4,4,4,4,4,1,0,26,26,26,26,26
Karaman,0,0,1,1,0,5,5,5,5,2,0,11,11,11,11,11,11,11,11,11,11,11,11,5,5,5,5,5,5,2,0,8,3,3,3,1,0,18,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,18,18,18,18,18,18,18,18,18,18,18,18,18,18,38,38,38
