,value_x,value_y,netmig,pop19,netmigration
Adana,60900,52290,-8610,2237940,-0.00384728813104909
Adıyaman,24821,17619,-7202,626465,-0.011496252783475533
Afyonkarahisar,27006,23818,-3188,729483,-0.004370218360126282
Aksaray,15672,13689,-1983,416367,-0.004762625280101449
Amasya,14813,13329,-1484,337800,-0.004393132030787448
Ankara,154464,211744,57280,5639076,0.010157692501395619
Antalya,68494,100140,31646,2511700,0.012599434645857388
Ardahan,7028,5164,-1864,97319,-0.01915350548197166
Artvin,11676,8403,-3273,170875,-0.01915435259692758
Aydın,36180,40439,4259,1110972,0.0038335799642115194
Ağrı,28158,16342,-11816,536199,-0.02203659462251888
Balıkesir,42931,41467,-1464,1228620,-0.0011915807979684524
Bartın,10708,9423,-1285,198249,-0.006481747701123335
Batman,23325,20902,-2423,608659,-0.003980882563142909
Bayburt,7882,9131,1249,84843,0.014721308770316938
Bilecik,10582,10565,-17,219427,-7.747451316383125e-05
Bingöl,14879,11266,-3613,279812,-0.01291224107615113
Bitlis,19050,12385,-6665,348115,-0.019145971877109577
Bolu,15068,15997,929,316126,0.00293870165693426
Burdur,13603,12134,-1469,270796,-0.005424747780617144
Bursa,68356,85596,17240,3056120,0.005641139745821499
Denizli,27146,26235,-911,1037208,-0.0008783194884729003
Diyarbakır,49730,42329,-7401,1756353,-0.004213845394405339
Düzce,14798,15454,656,392166,0.0016727610246681252
Edirne,16761,16864,103,413903,0.0002488505761011638
Elazığ,29248,20343,-8905,591098,-0.01506518377663264
Erzincan,17555,14496,-3059,234747,-0.013031050450059
Erzurum,40401,26819,-13582,762062,-0.017822696840939452
Eskişehir,29543,36757,7214,887475,0.008128679681117778
Gaziantep,53517,52268,-1249,2069364,-0.0006035670863125095
Giresun,30580,22595,-7985,448400,-0.017807760927743086
Gümüşhane,25477,16158,-9319,164521,-0.05664322487706736
Hakkari,12719,6898,-5821,280991,-0.02071596599179333
Hatay,42067,35244,-6823,1628894,-0.00418873174067803
Isparta,20052,19555,-497,444914,-0.001117069815739671
Iğdır,9777,8650,-1127,199442,-0.0056507656361247886
Kahramanmaraş,36700,27676,-9024,1154102,-0.007819066252376307
Karabük,16485,14571,-1914,248458,-0.007703515282260986
Karaman,11075,10318,-757,253279,-0.0029887989134511745
Kars,16421,11132,-5289,285410,-0.018531235766090885
Kastamonu,22515,17737,-4778,379405,-0.01259340282811244
Kayseri,39013,40579,1566,1407409,0.001112682951437713
Kilis,8843,6515,-2328,142490,-0.01633798863078111
Kocaeli,65675,82977,17302,1953035,0.008859032224204892
Konya,58557,54219,-4338,2232374,-0.0019432227753951622
Kütahya,21456,21212,-244,579257,-0.0004212292643852383
Kırklareli,14468,15352,884,361836,0.0024430957671431257
Kırıkkale,18854,12937,-5917,283017,-0.020906871318684038
Kırşehir,13028,10853,-2175,242938,-0.008952901563361846
Malatya,33272,29880,-3392,800165,-0.004239125680328432
Manisa,37164,40857,3693,1440611,0.0025634956278967743
Mardin,32544,27395,-5149,838778,-0.0061386922403782644
Mersin,54452,55429,977,1840425,0.0005308556447559667
Muğla,36210,42987,6777,983142,0.006893205661033706
Muş,20063,13396,-6667,408809,-0.016308349375869904
Nevşehir,11899,12571,672,303010,0.0022177485891554734
Niğde,20769,14055,-6714,362861,-0.018502952921366583
Ordu,46640,25386,-21254,754198,-0.02818092861556249
Osmaniye,21459,18126,-3333,538759,-0.0061864395768794584
Rize,23534,15946,-7588,343212,-0.022108784075148886
Sakarya,31291,35941,4650,1029650,0.004516097703102996
Samsun,45020,45973,953,1348542,0.0007066891502081508
Siirt,17252,11016,-6236,330280,-0.01888094949739615
Sinop,15642,12926,-2716,218243,-0.012444843591776139
Sivas,36430,23572,-12858,638956,-0.020123451380063728
Tekirdağ,38109,48911,10802,1055412,0.010234865625935653
Tokat,39567,39530,-37,612747,-6.0383812568645787e-05
Trabzon,37502,29603,-7899,808974,-0.00976421986367918
Tunceli,8179,6517,-1662,84660,-0.019631467044649183
Uşak,12363,13117,754,370509,0.002035038285169861
Van,39575,34372,-5203,1136757,-0.004577055606431278
Yalova,12824,14531,1707,270976,0.006299450873878129
Yozgat,25253,18009,-7244,421200,-0.017198480531813866
Zonguldak,26251,19654,-6597,596053,-0.011067807728507364
Çanakkale,22293,25198,2905,542157,0.00535822649158823
Çankırı,32275,11381,-20894,195789,-0.10671692485277517
Çorum,23425,16006,-7419,530864,-0.013975330781518431
İstanbul,378305,498676,120371,15519267,0.007756229723994052
İzmir,106895,128370,21475,4367251,0.004917280916530788
Şanlıurfa,60885,41841,-19044,2073614,-0.009183965771836031
Şırnak,20724,16365,-4359,529615,-0.008230507066453934
