"","sigma","year","edges","nonrec","recpos","recneg","posneg","reciprocated","conflict"
"1",5,2008,324,46,252,26,0,0.858024691358025,0
"2",10,2008,648,130,418,100,0,0.799382716049383,0
"3",15,2008,972,248,482,242,0,0.744855967078189,0
"4",20,2008,1296,350,516,430,0,0.729938271604938,0
"5",25,2008,1620,428,544,646,2,0.734567901234568,0.00123456790123457
"6",30,2008,1944,530,576,836,2,0.726337448559671,0.00102880658436214
"7",35,2008,2268,602,606,1058,2,0.7336860670194,0.000881834215167548
"8",40,2008,2592,670,622,1298,2,0.740740740740741,0.000771604938271605
"9",45,2008,2916,730,640,1544,2,0.748971193415638,0.000685871056241427
"10",50,2008,3240,770,664,1802,4,0.761111111111111,0.00123456790123457
"11",55,2008,3564,782,672,2098,12,0.777216610549944,0.00336700336700337
"12",60,2008,3888,804,688,2380,16,0.789094650205761,0.00411522633744856
"13",65,2008,4212,784,710,2692,26,0.807692307692308,0.00617283950617284
"14",70,2008,4536,772,730,2990,44,0.82010582010582,0.00970017636684303
"15",75,2008,4860,758,750,3292,60,0.831687242798354,0.0123456790123457
"16",80,2008,5184,672,798,3626,88,0.853395061728395,0.0169753086419753
"17",85,2008,5508,594,832,3966,116,0.871096586782861,0.0210602759622367
"18",90,2008,5832,450,892,4280,210,0.886831275720165,0.0360082304526749
"19",95,2008,6156,254,950,4606,346,0.902534113060429,0.0562053281351527
"20",100,2008,6480,0,1036,4836,608,0.906172839506173,0.0938271604938272
"21",5,2009,324,54,244,26,0,0.833333333333333,0
"22",10,2009,648,118,420,110,0,0.817901234567901,0
"23",15,2009,972,222,488,262,0,0.771604938271605,0
"24",20,2009,1296,318,534,444,0,0.75462962962963,0
"25",25,2009,1620,402,574,644,0,0.751851851851852,0
"26",30,2009,1944,476,594,874,0,0.755144032921811,0
"27",35,2009,2268,556,616,1096,0,0.754850088183421,0
"28",40,2009,2592,636,636,1320,0,0.75462962962963,0
"29",45,2009,2916,688,654,1570,4,0.762688614540466,0.00137174211248285
"30",50,2009,3240,736,670,1830,4,0.771604938271605,0.00123456790123457
"31",55,2009,3564,748,684,2122,10,0.787317620650954,0.00280583613916947
"32",60,2009,3888,730,708,2434,16,0.808127572016461,0.00411522633744856
"33",65,2009,4212,752,730,2710,20,0.816714150047483,0.00474833808167141
"34",70,2009,4536,736,750,3020,30,0.831128747795414,0.00661375661375661
"35",75,2009,4860,700,772,3338,50,0.845679012345679,0.0102880658436214
"36",80,2009,5184,646,802,3662,74,0.861111111111111,0.0142746913580247
"37",85,2009,5508,564,844,3994,106,0.87835875090777,0.0192447349310094
"38",90,2009,5832,434,878,4358,162,0.897805212620027,0.0277777777777778
"39",95,2009,6156,262,942,4668,284,0.91130604288499,0.046133853151397
"40",100,2009,6480,0,1056,4926,498,0.923148148148148,0.0768518518518519
"41",5,2010,324,38,262,24,0,0.882716049382716,0
"42",10,2010,648,108,436,104,0,0.833333333333333,0
"43",15,2010,972,210,510,252,0,0.783950617283951,0
"44",20,2010,1296,296,546,454,0,0.771604938271605,0
"45",25,2010,1620,386,580,652,2,0.760493827160494,0.00123456790123457
"46",30,2010,1944,448,622,872,2,0.768518518518518,0.00102880658436214
"47",35,2010,2268,524,642,1100,2,0.768077601410935,0.000881834215167548
"48",40,2010,2592,576,664,1350,2,0.777006172839506,0.000771604938271605
