"","sigma","year","ppp","ppn","pnn","nnn","sb","wsb"
"1",5,2008,65,8,23,0,0.916666666666667,0.916666666666667
"2",10,2008,245,60,339,51,0.840287769784173,0.913669064748201
"3",15,2008,333,199,1134,326,0.73644578313253,0.900100401606426
"4",20,2008,410,407,2299,927,0.670046994805837,0.899332179074944
"5",25,2008,501,604,3520,1685,0.637242472266244,0.904278922345483
"6",30,2008,546,801,5077,2903,0.60287337836389,0.914120295915085
"7",35,2008,563,985,6600,4402,0.570756972111554,0.921513944223108
"8",40,2008,616,1235,8293,6333,0.540693087333859,0.925047035261273
"9",45,2008,681,1510,10119,8668,0.514825054819334,0.928019830298408
"10",50,2008,714,1721,11854,11329,0.490592552111796,0.932820672964322
"11",55,2008,745,1938,13518,14182,0.469440147450877,0.936214330382122
"12",60,2008,795,2240,15434,17846,0.446895222359906,0.93831749965579
"13",65,2008,880,2601,17410,21067,0.435912102578769,0.938009438009438
"14",70,2008,941,2915,19443,24858,0.423282181198995,0.939468820732189
"15",75,2008,1001,3234,21661,29532,0.408854730461139,0.941654037670491
"16",80,2008,1070,3637,23571,32824,0.403276488494648,0.940476580144676
"17",85,2008,1115,4069,25512,36922,0.393785678369665,0.939823715578692
"18",90,2008,1124,4173,26229,38856,0.388636299053735,0.940709272257111
"19",95,2008,1122,4081,26271,38610,0.390859539980595,0.941769876148622
"20",100,2008,1003,3486,23658,35679,0.386378591796447,0.945382759377056
"21",5,2009,82,8,26,0,0.931034482758621,0.931034482758621
"22",10,2009,277,43,301,37,0.878419452887538,0.934650455927052
"23",15,2009,367,127,1075,249,0.793179317931793,0.93014301430143
"24",20,2009,463,264,2175,818,0.709139784946237,0.929032258064516
"25",25,2009,523,402,3330,1574,0.661005318236404,0.931034482758621
"26",30,2009,584,591,4732,2642,0.621827114282372,0.930869107497953
"27",35,2009,619,800,6288,4200,0.58007894515831,0.93281263122533
"28",40,2009,678,1048,8148,6149,0.55083317730762,0.934594021094676
"29",45,2009,747,1292,10059,8267,0.53061625337589,0.936557819788853
"30",50,2009,814,1606,11992,10849,0.506947468429595,0.936423736194133
"31",55,2009,881,1884,13906,13513,0.48989530877286,0.937582825337927
"32",60,2009,924,2101,15826,16514,0.473632122154673,0.940590979782271
"33",65,2009,969,2388,18031,20449,0.454143461529268,0.942921337572006
"34",70,2009,999,2701,20009,24353,0.437102076484541,0.943801756065083
"35",75,2009,1065,3130,22081,28024,0.426261510128913,0.942357274401473
"36",80,2009,1096,3478,24064,32235,0.413319534112004,0.942864652637458
"37",85,2009,1134,3839,26005,36081,0.404703320956173,0.942751905038846
"38",90,2009,1187,4189,27285,38776,0.398560969805563,0.941360919411509
"39",95,2009,1187,4225,27559,39511,0.3965950166938,0.941709665848073
"40",100,2009,1059,3462,25326,37468,0.391963158285672,0.948570155240288
"41",5,2010,74,1,35,0,0.990909090909091,0.990909090909091
